wavelength,gain_port_1,gain_port_2,gain_port_3,gain_port_4,gain_port_5,gain_port_6,gain_port_7,gain_port_8
1545.798754684501,-26.076253014212625,-26.41665308200391,-16.0156190895625,-1.4092281032096479,-16.25711376969431,-23.780008799479813,-24.175100256697483,-18.37098421203963
1545.7638279192697,-24.383896847190336,-24.869059582562357,-15.97966536280256,-1.4767952308447878,-15.34108207595673,-23.053653895076224,-23.452921937085527,-17.814772367161225
1545.7289027323181,-22.976591160018085,-23.606610485612592,-15.941710898417883,-1.5582591634456282,-14.432166998352155,-22.336563614878003,-22.741987646574408,-17.268532822740475
1545.6939791235393,-21.77845001359913,-22.55345801875727,-15.90318459112389,-1.6537710343463412,-13.55066646262764,-21.649080542190827,-22.062940365418953,-16.752946837963425
1545.6590570928258,-20.741598019943027,-21.66176497104641,-15.86562236782541,-1.7635280874980714,-12.707177195004267,-21.001842452851086,-21.42673713186682,-16.279010109806244
1545.6241366400716,-19.833947653014583,-20.899482045666815,-15.830630134854854,-1.8877737346607961,-11.906334289191456,-20.39952103003301,-20.838391841994284,-15.851775445997172
1545.589217765169,-19.03299600319094,-20.24414465597381,-15.799849051659853,-2.026795424213754,-11.149317080786616,-19.843326742182768,-20.29948492500745,-15.472862332959892
1545.5543004680112,-18.322400092954215,-19.679448282538548,-15.77492495819089,-2.1809212472788087,-10.435403701747576,-19.332562234461996,-19.809722324389313,-15.14201582672828
1545.5193847484913,-17.689959062832877,-19.19323070033141,-15.75748344634114,-2.350516440314603,-9.762895503451103,-18.86554539687188,-19.36786503618925,-14.858036016001126
1545.4844706065026,-17.126362625887023,-18.776220474388964,-15.749111668452079,-2.535981007238015,-9.129651966972624,-18.440142699004,-18.97226989533476,-14.619318746420154
1545.4495580419377,-16.62438262299124,-18.421228556288487,-15.75134754184829,-2.737749581325515,-8.533392968565959,-18.054069627064543,-18.621198565777817,-14.424164560203646
1545.4146470546905,-16.178334097017686,-18.122609399585357,-15.765676563293091,-2.9562944061417307,-7.971864516526569,-17.705054303344014,-18.312990961781058,-14.270952077083374
1545.3797376446532,-15.783709735513899,-17.87588240519819,-15.793550466482497,-3.1921272915397947,-7.4429277040512645,-17.390918682639832,-18.046169623364218,-14.158246348226463
1545.3448298117196,-15.43692086436261,-17.677492990394295,-15.836366545853167,-3.4458140108350808,-6.94459642045609,-17.10962706270469,-17.819477164672367,-14.084830753133648
1545.3099235557825,-15.135115962621356,-17.52465029590101,-15.895476866231997,-3.7179980735401683,-6.475047129627242,-16.859292368890607,-17.63188765619879,-14.049711657481723
1545.275018876735,-14.87606460148658,-17.415165093189586,-15.97226094413184,-4.009403176811116,-6.032624223726776,-16.638159420112906,-17.482649425293925,-14.052175317876735
1545.2401157744705,-14.658068538939945,-17.347380845748365,-16.068126336806465,-4.320860574015484,-5.615826085836119,-16.44459710046919,-17.371276955488174,-14.091773873262998
1545.205214248882,-14.479904221011036,-17.320116251180526,-16.18453834674061,-4.65333274445965,-5.223291074772184,-16.277079549448427,-17.29755569942504,-14.168330156181913
1545.1703142998626,-14.340786287492067,-17.332628787870313,-16.32305244623256,-5.007939506600195,-4.853781971752325,-16.13416520379595,-17.26154909091271,-14.281944707324076
1545.1354159273055,-14.240347516981814,-17.384594701037745,-16.485349376717263,-5.385986788762473,-4.506170706713287,-16.01447547551029,-17.26361065098071,-14.43300788775953
